ID,Order ID,Order Date,Total,ASIN,Quantity,Product Name,Insurance_Cats,Insurance_Conf,Insurance_Conf_HL,Gen_Cats,Room
63,111-1034114-3222668,2025-07-03T19:41:20Z,12.71,B0CV9HLYX3,1,"EUGY Frilled Lizard 3D Puzzle - 32 Piece Eco-Friendly Educational Toy Puzzle for Boys, Girls & Kids Ages 6+",Other,0,Low,Other,Other
64,112-8074125-1957823,2025-07-03T07:23:21Z,42.27,B06XNW4SNJ,1,"Dixie Basic 8.5 Inch Light-Weight Paper Plates By GP PRO, White, 500 Count (125 Disposable Plates Per Pack, 4 Packs Per Case), DBP09W",Non-perishable paper / plastic products,72,Low,Household-Consumables,Utility/ Laundry Room
65,112-3917827-4945042,2025-07-03T03:12:18Z,15.75,B00M8ZEALK,1,"Hefty Strong Extra Large Trash Bags, Black, 33 Gallon, 48 Count",Wastebasket / garbage / trash can,72,Low,Household-Consumables,Basement - Unfinished
66,114-9305348-2178662,2025-07-02T11:53:11Z,36.03,B0DBGJ917R,1,Aqua Eve Two Piece Bikini Skirt Swimsuit - 2 Piece Bathing Suits for Women High Waisted with Pockets 2025 Swimwear Stripe and Black M,Swimwear / Bathing suit / Bikini - Ladies',72,Low,Other,Clothing & Accs - Womens
68,114-9735338-7870638,2025-07-02T01:21:17Z,81.66,B01EY9KQ1U,1,Purina Pro Plan Sensitive Skin and Sensitive Stomach Dog Food Lamb and Oat Meal Formula - 24 lb. Bag,Dog food (enter price),72,Low,Other,Pet Care Items
69,112-9010605-8397057,2025-07-01T22:12:54Z,14.58,B0DBWL9WC9,1,"Glade PlugIns Refills Air Freshener, Pet Fresh Scent, Scented and Essential Oils for Home and Bathroom, 0.67 Fl Oz, 5 Count",Non-perishable cleaning supplies,35,Low,Household-Consumables,Utility/ Laundry Room
70,111-0004778-5651429,2025-07-01T20:15:21Z,10.02,B0CMW64H59,1,"Cremo Body Wash Men, Notes of Italian Bergamot, Neroli Blossom, and Fresh Vetiver, Rich-Lathering Italian Bergamot, 16 Fl Oz",Soap / lotion pump,40,Low,Household-Consumables,Bathroom
71,111-6224050-2058618,2025-06-28T17:01:13Z,29.67,B01CDTEJBG,1,BTF-LIGHTING WS2812B IC RGB 5050SMD Pure Gold Individual Addressable LED Strip 16.4FT 300LED 60Pixel/m Flexible Full Color IP30 DC5V for DIY Chasing Color Project(No Adapter or Controller),Specialty lighting,30,Low,Electronics-Components & Prototyping,Attic
72,111-8709984-9271443,2025-06-28T16:22:52Z,25.16,B0CJHQNFMG,2,MTDZKJG 5V 5A Power Supply Adapter 25W AC 100-240V to DC Wall Power Supply Converter with 5.5x2.5mm/2.1mm Plug for LED Pixel Strip Light CCTV Camera Security System,Other,0,Low,Electronics-Components & Prototyping,Other
73,112-7411967-3930625,2025-06-28T04:22:35Z,33.29,B0F5Z1W4Y1,1,"Brawny Tear-A-Square 3-Ply Paper Towels, 12 XL Family Rolls = 30 Regular Rolls, Strong, Absorbent, and Durable with 3 Sheet Sizes (Quarter, Half, Full)",Non-perishable paper / plastic products,72,Low,Household-Consumables,Utility/ Laundry Room
74,111-1969736-0373841,2025-06-28T04:00:31Z,10.55,B004DY5ZW2,1,"TUMS Ultra Strength Chewable Antacid Tablets for Heartburn Relief, Peppermint - 160 Count",Non-prescription medication/medicine/Vitamin - Enter price,31,Low,Other,Kid's Bedroom
75,111-0920809-9399467,2025-06-28T03:59:59Z,10.37,B004DY5ZW2,1,"TUMS Ultra Strength Chewable Antacid Tablets for Heartburn Relief, Peppermint - 160 Count",Non-prescription medication/medicine/Vitamin - Enter price,31,Low,Other,Kid's Bedroom
76,111-5272435-5971414,2025-06-26T12:02:55Z,26.36,B0DTQ7LBXP,1,"Tide Ultra Oxi Boost Liquid Laundry Detergent, 148 fl oz, 105 Loads, Advanced Stain Remover, Laundry Detergent Liquid with Extra Oxi Power",Non-perishable cleaning supplies,37,Low,Household-Consumables,Utility/ Laundry Room
77,114-8511139-4951407,2025-06-24T14:48:19Z,22.21,B0CTQZP4PT,1,Innova Discs Halo Star Boss Disc Golf Distance Driver (Colors May Vary),Disc / Frisbee golf,72,Low,Other,Basement - Unfinished
