ID,items,date,Real Total,category
1,Fisher-Price Little Superstar Step N' Play Piano; ,2013-12-30,109.99,Other
2,"Simple Solution Diaper Liners Ultra Absorbency, 10-Pack; ",2013-12-26,12.92,Baby-Diapers
3,"Manhattan Toy Winkel; O Ball Clickity Twist Toy; Thermos Stainless King 16-Ounce Compact Bottle, Midnight Blue; ",2013-12-26,53.86,Household-Consumables
3,"Manhattan Toy Winkel; O Ball Clickity Twist Toy; Thermos Stainless King 16-Ounce Compact Bottle, Midnight Blue; ",2013-12-26,53.86,Other
4,"Gerber Unisex-Baby Infant 4 Pack Onesies Brand, White, 12 Months; ",2013-12-25,25.98,Other
5,Vulli Sophie the Giraffe Teether; Baby Einstein Take Along Tunes; ,2013-12-25,54.87,Other
6,"Jeep Perfect Pockets Back Pack, Black; ",2013-12-25,48.98,Other
7,"Syma S107G 3 Channel RC Helicopter with Gyro, White; ",2013-12-23,22.99,Other
8,UFCÃÂ® Glove Red/gray 14 oz.; ,2013-12-23,26.0,Other
9,"MAM Perfect Silicone Pacifier, Blue, 6 Plus Months; MAM Pacifier Clip and Nipple Cover, Blue; MAM Perfect Silicone Pacifier, Teal, 6 Plus Months; ",2013-12-21,29.95,Baby-Diapers
10,Round Dart Sharpener; 20 Sets Wholesale Standard Dart Flights; ,2013-12-14,14.49,Other
10,Round Dart Sharpener; 20 Sets Wholesale Standard Dart Flights; ,2013-12-14,14.49,Tools-other
11,Bottelsen Hammer Head Steel Tip Super Alloy 22 Gram Thrust Dart; ,2013-12-14,24.32,Other
12,Pandamimi Green White Zebra Combo Hard Soft High Impact Armor Skin Gel Case for iPhone 4/4S/4G; ,2013-12-14,2.56,Computer Accesories
13,"eForCity Snap-on Case Compatible with AppleÂ® iPhoneÂ® 4 / 4S, White/Purple Color Hybrid 3-Piece Hard; ",2013-12-14,2.05,Computer Accesories
14,Skippyjon Jones in the Doghouse; Skippyjon Jones in Mummy Trouble; Pete the Cat: Pete at the Beach (My First I Can Read); The Jesus Storybook Bible: Every Story Whispers His Name; ,2013-12-12,27.01,Other
15,"Baby Spring Float Sun Canopy, Colors May Vary; ",2013-12-12,17.25,Baby-Diapers
16,"Energizer Watch/Electronic Batteries, 3 Volts, 2032, 2 batteries (Lithium Button Cell); ",2013-12-11,2.25,Electronics-Components & Prototyping
17,Fisher-Price Discover 'n Grow Lion Activity Block; ,2013-12-11,9.99,Other
18,"Red,green and Violet/blue Lasers; ",2013-12-09,15.72,Electronics-Components & Prototyping
19,Infrared Family Ear Thermometer TS-110 with 1 second reading; ,2013-12-09,25.5,Sensor-Modules
20,Clifford's First Snow Day (Clifford 8x8); Clifford's Noisy Day; Clifford's Bathtime; Clifford's Peekaboo (Clifford); Clifford's First Christmas; Clifford's Animal Sounds; Clifford's Opposites; Clifford's Kitten (Clifford 8x8); ,2013-12-07,29.09,Other
21,OXO Good Grips 8-Piece Clip Set; ,2013-12-05,9.95,Household-Consumables
22,Hohner Kids Musical Toys S363 Maraca(colors vary); ,2013-12-03,7.09,Other
23,Hohner Kids Musical Toys S363 Maraca - Blue; ,2013-12-03,9.0,Other
24,Weight Watchers Creamy Chocolate Smoothie; ,2013-12-03,27.02,Snacks
25,Weight Watchers French Vanilla Smoothie; ,2013-12-03,15.34,Snacks
26,"SpaSilk Baby-Boys Newborn 3 Pack Elephant Burp Cloth, Blue, 12x17; SpaSilk Baby-Boys Newborn 3 Pack Dino Burp Cloth, Blue, 12x17; Neat Solutions 5 Pack Graphic Print Interlock Feeder Bib, Boy; Luvable Friends 4 Pack Baby Burp Cloths, Blue; Neat Solutions 10 Pack Water Resistant Drooler Bib Set, Multi-color; ",2013-12-02,31.14,Baby-Diapers
27,"MAM Soft Silicone Pacifier, Styles May Vary, 6 Plus Months, 2-Count; ",2013-11-25,14.98,Baby-Diapers
28,"Antler Dog Chew from Pet Expertise, Medium 4""-7"" Long, 1 Piece; ",2013-11-25,20.25,Other
29,"Farm Innovators Economical 1-1/2-Gallon Round Heated Pet Bowl, Blue Model R-19, 60-Watt; ",2013-11-25,19.97,Other
30,Baby Einstein Music and Discovery Travel Mirror; ,2013-11-23,29.0,Other
31,"MAMSoft Silicone Pacifier, Styles May Vary, 6 Plus Months, 2-Count; ",2013-11-15,7.49,Baby-Diapers
32,"PlaytexVentAire Standard Bottles, 5-Count; Canon Photo Paper Plus Semi-Gloss 5"" x 7"" (20 Sheets) ( SG-201 5X7); Canon Photo Paper Plus Semi-Gloss 8"" x 10"" (50 Sheets) (SG-201 8X10); ",2013-11-14,39.67,Baby-Diapers
32,"PlaytexVentAire Standard Bottles, 5-Count; Canon Photo Paper Plus Semi-Gloss 5"" x 7"" (20 Sheets) ( SG-201 5X7); Canon Photo Paper Plus Semi-Gloss 8"" x 10"" (50 Sheets) (SG-201 8X10); ",2013-11-14,39.67,Office Supplies
33,"Similac infant nipples & rings, Standard Flow, Ready To Use, Case of 25; ",2013-11-07,22.89,Baby-Diapers
34,Plantronics M50 - Bluetooth Headset - Retail Packaging - Black; ,2013-11-05,29.25,Computer Accesories
35,Mantis Girls' Lil Maya Bike (12-Inch Wheels); ,2013-11-05,39.97,Other
36,Infantino Big Top Discovery Cube Development Toy; ,2013-10-28,10.99,Other
37,Bright Starts Start Your Senses Sensory Giraffe; ,2013-10-28,12.5,Other
38,i-Blason Samsung Galaxy Note 3 Note III N9000 Prime Series Dual Layer Holster Case with Kickstand and Locking Belt Swivel Clip (Black); ,2013-10-26,19.99,Computer Accesories
39,"Bracoo Breathable Neoprene Knee Support, One Size, Black,Manufactured by: Yasco; ",2013-10-25,23.4,Other
40,Cozy Cover - Jungle Theme; ,2013-10-24,20.04,Baby-Diapers
41,Podee Baby Bottle Tube and Nipple Replacements; ,2013-10-23,8.0,Baby-Diapers
42,Dr. Brown's 2 Pack Natural Flow Level 2 Standard Nipple; ,2013-10-22,7.88,Baby-Diapers
43,Podee Double Pack Feeding System; ,2013-10-21,17.49,Baby-Diapers
44,"Snap-on Rubber Coated Case for AppleÃÂ® iPhoneÃÂ® 4 4S 4GS 4G AT&T / Verizon, Pink / Black; ",2013-10-21,1.98,Computer Accesories
45,"Purell Products - Purell - Spring Bloom Instant Hand Sanitizer, Sweet Pea, 8-oz. Pump Bottle, Pink - Sold As 1 Each - Kills 99.99% of common germs that may cause illness in as little as 15 seconds, without water or towels. - Moisturizers and vitamin E leave hands feeling soft and refreshed. -; ",2013-10-20,10.8,Cleaning-Supplies
46,"New Balance Women's Color Block Capri, Blue Atoll, Large; ",2013-10-17,20.0,Other
47,(5 PACK) USB Sync/Charging Cable (3 ft) for Apple iPhones & iPods; ,2013-10-15,4.82,Computer Accesories
48,Dr. Brown's 2 Pack Natural Flow Y-Cut Standard Nipple; ,2013-10-10,15.96,Baby-Diapers
49,"Gerber Baby Cereal, Rice, 8 Ounce (Pack of 6); ",2013-10-10,12.57,Household-Consumables
50,"Britax 2 Pack EZ-Cling Sun Shades, Black; ",2013-10-10,7.04,Baby-Diapers
51,Standard Nipples Level One - 2 Pack By Dr. Brown's; ,2013-10-09,6.84,Baby-Diapers
52,Teach Yourself VISUALLY Knitting (Teach Yourself VISUALLY Consumer); ,2013-10-07,16.98,Other
53,Crochet Patterns For Dummies; ,2013-10-07,13.98,Other
54,"Whimsical Hats: Delightful and Amusing Hats to Knit, Wear, and Love; ",2013-10-06,12.44,Other
55,Roku 3 Streaming Media Player; ,2013-10-06,94.99,Computer Parts
56,SquareTrade 2-Year Home AV Protection Plan ($75-100); ,2013-10-06,,Other
57,"Pediacare Infant Gas Relief Drops (0-36 Months), Non-staining - Berry Flavor, 1 Oz (Pack of 3); ",2013-10-04,14.36,Household-Consumables
58,Cap Barbell Solid Hex Single Dumbbell (35-Pound); ,2013-10-02,33.47,Tools-other
59,Cap Barbell Solid Hex Single Dumbbell (35-Pound); ,2013-10-02,33.47,Tools-other
60,Cap Barbell Solid Hex Single Dumbbell (25-Pound); ,2013-10-02,47.54,Tools-other
61,Hip Hop Abs DVD Workout; ,2013-09-29,33.85,Other
62,"Dr. Brown's 3 Count BPA Free Polypropylene Natural Flow Wide Neck Bottle, 24 Ounce; ",2013-09-28,27.24,Baby-Diapers
63,"Edimax EW-7811Un 150 Mbps Wireless 11n Nano Size USB Adapter with EZmax Setup Wizard; Cheetah Mounts APTMM2B Flush Tilt Dual Hook (1.3"" from wall) Flat Screen TV Wall Mount Bracket for 32-65 inch Plasma, LED, and LCD TVs Up To VESA 700x400 and 165lbs, Including 10' Braided High Speed with Ethernet HDMI Cable and 3-Axis Magnetic Bubble Level; ",2013-09-26,34.99,Computer Parts
