ID,items,date, Real Total ,insurance_category
1,Fisher-Price Little Superstar Step N' Play Piano; ,12/30/2013,$109.99 ,Other
2,"Simple Solution Diaper Liners Ultra Absorbency, 10-Pack; ",12/26/2013,$12.92 ,Other
3,"Manhattan Toy Winkel; O Ball Clickity Twist Toy; Thermos Stainless King 16-Ounce Compact Bottle, Midnight Blue; ",12/26/2013,$53.86 ,Other
4,"Gerber Unisex-Baby Infant 4 Pack Onesies Brand, White, 12 Months; ",12/25/2013,$25.98 ,Other
5,Vulli Sophie the Giraffe Teether; Baby Einstein Take Along Tunes; ,12/25/2013,$54.87 ,Other
6,"Jeep Perfect Pockets Back Pack, Black; ",12/25/2013,$48.98 ,Other
7,"Syma S107G 3 Channel RC Helicopter with Gyro, White; ",12/23/2013,$22.99 ,Other
8,UFCÃÂ® Glove Red/gray 14 oz.; ,12/23/2013,$26.00 ,Other
9,"MAM Perfect Silicone Pacifier, Blue, 6 Plus Months; MAM Pacifier Clip and Nipple Cover, Blue; MAM Perfect Silicone Pacifier, Teal, 6 Plus Months; ",12/21/2013,$29.95 ,Other
10,Round Dart Sharpener; 20 Sets Wholesale Standard Dart Flights; ,12/14/2013,$14.49 ,Other
11,Bottelsen Hammer Head Steel Tip Super Alloy 22 Gram Thrust Dart; ,12/14/2013,$24.32 ,Other
12,Pandamimi Green White Zebra Combo Hard Soft High Impact Armor Skin Gel Case for iPhone 4/4S/4G; ,12/14/2013,$2.56 ,Other
13,"eForCity Snap-on Case Compatible with AppleÂ® iPhoneÂ® 4 / 4S, White/Purple Color Hybrid 3-Piece Hard; ",12/14/2013,$2.05 ,Other
14,Skippyjon Jones in the Doghouse; Skippyjon Jones in Mummy Trouble; Pete the Cat: Pete at the Beach (My First I Can Read); The Jesus Storybook Bible: Every Story Whispers His Name; ,12/12/2013,$27.01 ,Other
15,"Baby Spring Float Sun Canopy, Colors May Vary; ",12/12/2013,$17.25 ,Other
16,"Energizer Watch/Electronic Batteries, 3 Volts, 2032, 2 batteries (Lithium Button Cell); ",12/11/2013,$2.25 ,Other
17,Fisher-Price Discover 'n Grow Lion Activity Block; ,12/11/2013,$9.99 ,Other
18,"Red,green and Violet/blue Lasers; ",12/9/2013,$15.72 ,Other
19,Infrared Family Ear Thermometer TS-110 with 1 second reading; ,12/9/2013,$25.50 ,Other
20,Clifford's First Snow Day (Clifford 8x8); Clifford's Noisy Day; Clifford's Bathtime; Clifford's Peekaboo (Clifford); Clifford's First Christmas; Clifford's Animal Sounds; Clifford's Opposites; Clifford's Kitten (Clifford 8x8); ,12/7/2013,$29.09 ,Other
21,OXO Good Grips 8-Piece Clip Set; ,12/5/2013,$9.95 ,Other
22,Hohner Kids Musical Toys S363 Maraca(colors vary); ,12/3/2013,$7.09 ,Other
23,Hohner Kids Musical Toys S363 Maraca - Blue; ,12/3/2013,$9.00 ,Other
24,Weight Watchers Creamy Chocolate Smoothie; ,12/3/2013,$27.02 ,Other
25,Weight Watchers French Vanilla Smoothie; ,12/3/2013,$15.34 ,Other
